journal,journal_id,discipline,journal_type,year,issue,issue_label,expected,exists,article_count,missing_title_count,missing_authors_count,missing_year_or_issue_count,missing_abstract_count,missing_source_url_count,issue_public_status
公共管理学报,36,公共管理,CSSCI,2011,1,2011年第1期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2011,2,2011年第2期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2011,3,2011年第3期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2011,4,2011年第4期,True,True,5,0,0,0,5,0,found
公共管理学报,36,公共管理,CSSCI,2012,1,2012年第1期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2012,2,2012年第2期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2012,3,2012年第3期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2012,4,2012年第4期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2013,1,2013年第1期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2013,2,2013年第2期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2013,3,2013年第3期,True,True,11,0,0,0,11,0,found
公共管理学报,36,公共管理,CSSCI,2013,4,2013年第4期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2014,1,2014年第1期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2014,2,2014年第2期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2014,3,2014年第3期,True,True,5,0,0,0,5,0,found
公共管理学报,36,公共管理,CSSCI,2014,4,2014年第4期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2015,1,2015年第1期,True,True,6,0,0,0,6,0,found
公共管理学报,36,公共管理,CSSCI,2015,2,2015年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2015,3,2015年第3期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2015,4,2015年第4期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2016,1,2016年第1期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2016,2,2016年第2期,True,True,7,0,0,0,7,0,found
公共管理学报,36,公共管理,CSSCI,2016,3,2016年第3期,True,True,5,0,0,0,5,0,found
公共管理学报,36,公共管理,CSSCI,2016,4,2016年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2017,1,2017年第1期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2017,2,2017年第2期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2017,3,2017年第3期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2017,4,2017年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2018,1,2018年第1期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2018,2,2018年第2期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2018,3,2018年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2018,4,2018年第4期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2019,1,2019年第1期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2019,2,2019年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2019,3,2019年第3期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2019,4,2019年第4期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2020,1,2020年第1期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2020,2,2020年第2期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2020,3,2020年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2020,4,2020年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2021,1,2021年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2021,2,2021年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2021,3,2021年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2021,4,2021年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2022,1,2022年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2022,2,2022年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2022,3,2022年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2022,4,2022年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2023,1,2023年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2023,2,2023年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2023,3,2023年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2023,4,2023年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2024,1,2024年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2024,2,2024年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2024,3,2024年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2024,4,2024年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2025,1,2025年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2025,2,2025年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2025,3,2025年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2025,4,2025年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2026,,2026年,False,False,0,0,0,0,0,0,2026_no_public_issue_found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,1,2010年第1期,True,True,19,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,2,2010年第2期,True,True,23,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,3,2010年第3期,True,True,26,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,4,2010年第4期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,5,2010年第5期,True,True,26,0,2,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2010,6,2010年第6期,True,True,28,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,1,2011年第1期,True,True,27,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,2,2011年第2期,True,True,24,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,3,2011年第3期,True,True,27,0,1,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,4,2011年第4期,True,True,27,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,5,2011年第5期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2011,6,2011年第6期,True,True,26,0,1,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,1,2012年第1期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,2,2012年第2期,True,True,24,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,3,2012年第3期,True,True,27,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,4,2012年第4期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,5,2012年第5期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2012,6,2012年第6期,True,True,24,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,1,2013年第1期,True,True,22,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,2,2013年第2期,True,True,23,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,3,2013年第3期,True,True,25,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,4,2013年第4期,True,True,22,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,5,2013年第5期,True,True,23,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2013,6,2013年第6期,True,True,22,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,1,2014年第1期,True,True,21,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,2,2014年第2期,True,True,22,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,3,2014年第3期,True,True,21,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,4,2014年第4期,True,True,20,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,5,2014年第5期,True,True,22,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2014,6,2014年第6期,True,True,21,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,1,2015年第1期,True,True,19,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,2,2015年第2期,True,True,17,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,3,2015年第3期,True,True,18,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,4,2015年第4期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,5,2015年第5期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2015,6,2015年第6期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,1,2016年第1期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,2,2016年第2期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,3,2016年第3期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,4,2016年第4期,True,True,12,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,5,2016年第5期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2016,6,2016年第6期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,1,2017年第1期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,2,2017年第2期,True,True,15,0,1,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,3,2017年第3期,True,True,15,0,1,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,4,2017年第4期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,5,2017年第5期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2017,6,2017年第6期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,1,2018年第1期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,2,2018年第2期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,3,2018年第3期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,4,2018年第4期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,5,2018年第5期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2018,6,2018年第6期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,1,2019年第1期,True,True,17,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,2,2019年第2期,True,True,17,0,1,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,3,2019年第3期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,4,2019年第4期,True,True,18,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,5,2019年第5期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2019,6,2019年第6期,True,True,16,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,1,2020年第1期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,2,2020年第2期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,3,2020年第3期,True,True,18,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,4,2020年第4期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,5,2020年第5期,True,True,17,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2020,6,2020年第6期,True,True,17,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,1,2021年第1期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,2,2021年第2期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,3,2021年第3期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,4,2021年第4期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,5,2021年第5期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2021,6,2021年第6期,True,True,17,0,0,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,1,2022年第1期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,2,2022年第2期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,3,2022年第3期,True,True,16,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,4,2022年第4期,True,True,17,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,5,2022年第5期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2022,6,2022年第6期,True,True,16,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,1,2023年第1期,True,True,15,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,2,2023年第2期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,3,2023年第3期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,4,2023年第4期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,5,2023年第5期,True,True,12,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2023,6,2023年第6期,True,True,14,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,1,2024年第1期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,2,2024年第2期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,3,2024年第3期,True,True,12,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,4,2024年第4期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,5,2024年第5期,True,True,12,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2024,6,2024年第6期,True,True,13,0,1,0,1,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,1,2025年第1期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,2,2025年第2期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,3,2025年第3期,True,True,13,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,4,2025年第4期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,5,2025年第5期,True,True,14,0,0,0,0,0,found
中共中央党校（国家行政学院）学报,53,公共管理,CSSCI,2025,6,2025年第6期,True,True,14,0,1,0,1,0,found
政治学研究,149,政治学,CSSCI,1985,1,1985年第1期,True,True,21,0,2,0,0,0,found
政治学研究,149,政治学,CSSCI,1985,2,1985年第2期,True,True,22,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1985,3,1985年第3期,True,True,23,0,2,0,0,0,found
政治学研究,149,政治学,CSSCI,1985,4,1985年第4期,True,True,17,0,2,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,1,1986年第1期,True,True,27,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,2,1986年第2期,True,True,21,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,3,1986年第3期,True,True,23,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,4,1986年第4期,True,True,21,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,5,1986年第5期,True,True,22,0,2,0,0,0,found
政治学研究,149,政治学,CSSCI,1986,6,1986年第6期,True,True,22,0,1,0,1,0,found
政治学研究,149,政治学,CSSCI,1987,1,1987年第1期,True,True,18,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1987,2,1987年第2期,True,True,18,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1987,3,1987年第3期,True,True,15,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1987,4,1987年第4期,True,True,16,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1987,5,1987年第5期,True,True,19,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1987,6,1987年第6期,True,True,14,0,2,0,1,0,found
政治学研究,149,政治学,CSSCI,1988,2,1988年第2期,True,True,21,0,4,0,0,0,found
政治学研究,149,政治学,CSSCI,1988,3,1988年第3期,True,True,14,0,1,0,1,0,found
政治学研究,149,政治学,CSSCI,1988,4,1988年第4期,True,True,17,0,1,0,1,0,found
政治学研究,149,政治学,CSSCI,1988,5,1988年第5期,True,True,16,0,2,0,0,0,found
政治学研究,149,政治学,CSSCI,1988,6,1988年第6期,True,True,20,0,1,0,1,0,found
政治学研究,149,政治学,CSSCI,1989,1,1989年第1期,True,True,16,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1989,2,1989年第2期,True,True,16,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1989,3,1989年第3期,True,True,16,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1989,4,1989年第4期,True,True,22,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1989,5,1989年第5期,True,True,11,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1989,6,1989年第6期,True,True,19,0,5,0,1,0,found
政治学研究,149,政治学,CSSCI,1990,1,1990年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1990,2,1990年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1990,3,1990年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1990,4,1990年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1990,5,1990年第5期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1990,6,1990年第6期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,1,1991年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,2,1991年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,3,1991年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,4,1991年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,5,1991年第5期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1991,6,1991年第6期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,1,1992年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,2,1992年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,3,1992年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,4,1992年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,5,1992年第5期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1992,6,1992年第6期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,1,1993年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,2,1993年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,3,1993年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,4,1993年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,5,1993年第5期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1993,6,1993年第6期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,1,1994年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,2,1994年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,3,1994年第3期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,4,1994年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,5,1994年第5期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1994,6,1994年第6期,True,False,0,0,0,0,0,0,not_found_in_public_sources
政治学研究,149,政治学,CSSCI,1995,1,1995年第1期,True,True,18,0,1,0,0,0,found
政治学研究,149,政治学,CSSCI,1996,1,1996年第1期,True,True,15,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1996,2,1996年第2期,True,True,17,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1996,3,1996年第3期,True,True,14,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1996,4,1996年第4期,True,True,15,0,0,0,0,0,found
政治学研究,149,政治学,CSSCI,1997,1,1997年第1期,True,True,15,0,0,0,15,0,found
